time,R0_1,R0_2,R0_3,Q0_1,Q0_2,Q0_3,v0_1,v0_2,v0_3,w0_1,w0_2,w0_3,vd0_1,vd0_2,vd0_3,wd0_1,wd0_2,wd0_3,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,qd_1,qd_2,qd_3,qd_4,qd_5,qd_6,qd_7,qd_8,qd_9,qd_10,qd_11,qd_12,qdd_1,qdd_2,qdd_3,qdd_4,qdd_5,qdd_6,qdd_7,qdd_8,qdd_9,qdd_10,qdd_11,qdd_12,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_max,tau_rms,pos_e1_1,pos_e1_2,pos_e1_3,pos_e2_1,pos_e2_2,pos_e2_3,pos_e3_1,pos_e3_2,pos_e3_3,pos_e4_1,pos_e4_2,pos_e4_3,Fe1_1,Fe1_2,Fe1_3,Fe_res1,Fe2_1,Fe2_2,Fe2_3,Fe_res2,Fe3_1,Fe3_2,Fe3_3,Fe_res3,Fe4_1,Fe4_2,Fe4_3,Fe_res4,Te1_1,Te1_2,Te1_3,Te_res1,Te2_1,Te2_2,Te2_3,Te_res2,Te3_1,Te3_2,Te3_3,Te_res3,Te4_1,Te4_2,des_q_1,des_q_2,des_q_3,des_q_4,des_q_5,des_q_6,des_q_7,des_q_8,des_q_9,des_q_10,des_q_11,des_q_12
0,0.21,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180926461,-0.544845141,-1.433197911,-0.334198044,-0.578249146,-1.459238897,0.237374247,-0.645859917,-1.491333211,-0.069333134,-0.59895899,-1.47151324,0,0,0,0,2.22E-14,0,0,-3.33E-14,0,-8.88E-14,-2.22E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.22,5.55E-17,0.04,0.22,-5.55E-17,0.04,-0.2,-6.94E-17,0.4,-0.2,2.78E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180926461,-0.544845141,-1.433197911,-0.334198044,-0.578249146,-1.459238897,0.237374247,-0.645859917,-1.491333211,-0.069333134,-0.59895899,-1.47151324
0.05,0.211719602,-4.61E-05,0.2,0,0,0,0.060333457,-0.001615894,0,0,0,0,0,0,0,0,0,0,0.118253537,-0.502327261,-1.513913264,-0.320131409,-0.575447078,-1.457375353,0.220994769,-0.64224802,-1.490138195,-0.08188909,-0.603297928,-1.473778502,-2.147625277,1.306577048,-2.497614281,0.491162399,0.098871616,0.066349744,-0.571110095,0.1275656,0.0427726,-0.443794079,-0.152130145,-0.078299662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40624,0.21376,0.00704,0.04,0.22,2.78E-17,0.04,-0.2,-1.94E-16,0.4,-0.2,1.11E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118253537,-0.502327261,-1.513913264,-0.320131409,-0.575447078,-1.457375353,0.220994769,-0.64224802,-1.490138195,-0.08188909,-0.603297928,-1.473778502
0.1,0.216387092,-0.000171064,0.2,0,0,0,0.113395454,-0.003037039,0,0,0,0,0,0,0,0,0,0,-0.03599472,-0.441281831,-1.633316524,-0.283005367,-0.567613628,-1.451880701,0.178114947,-0.632099941,-1.486508147,-0.117441719,-0.615005101,-1.479415799,-3.55873322,0.927043342,-1.888262753,0.887759836,0.193111039,0.13947625,-1.020612743,0.250809315,0.093552121,-0.88391718,-0.283161385,-0.130227365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42112,0.19888,0.01792,0.04,0.22,5.55E-17,0.04,-0.2,-9.71E-17,0.4,-0.2,-2.78E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03599472,-0.441281831,-1.633316524,-0.283005367,-0.567613628,-1.451880701,0.178114947,-0.632099941,-1.486508147,-0.117441719,-0.615005101,-1.479415799
0.15,0.223265499,-0.000355286,0.2,0,0,0,0.151718008,-0.004063422,0,0,0,0,0,0,0,0,0,0,-0.222221486,-0.449298804,-1.638475869,-0.231105955,-0.555593786,-1.442561328,0.119068811,-0.61640754,-1.480046828,-0.17394402,-0.63190641,-1.486434888,-3.637335296,-0.960601625,1.192261519,1.116059741,0.268987659,0.218530335,-1.260629543,0.352314591,0.154526269,-1.289715906,-0.367870202,-0.142217937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43888,0.18112,0.01792,0.04,0.22,-2.78E-17,0.04,-0.2,-1.39E-16,0.4,-0.2,8.33E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222221486,-0.449298804,-1.638475869,-0.231105955,-0.555593786,-1.442561328,0.119068811,-0.61640754,-1.480046828,-0.17394402,-0.63190641,-1.486434888
0.2,0.231617851,-0.000578985,0.2,0,0,0,0.175301118,-0.004695042,0,0,0,0,0,0,0,0,0,0,-0.369232489,-0.527471654,-1.532010746,-0.172525659,-0.540546161,-1.429147293,0.053748686,-0.596586565,-1.470232257,-0.249517547,-0.651443648,-1.493084622,-2.303638768,-1.742836675,2.33867904,1.189827243,0.318063785,0.301461409,-1.315013282,0.420522444,0.224992598,-1.651341643,-0.398356763,-0.123771513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45376,0.16624,0.00704,0.04,0.22,2.78E-17,0.04,-0.2,-2.78E-17,0.4,-0.2,6.94E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.369232489,-0.527471654,-1.532010746,-0.172525659,-0.540546161,-1.429147293,0.053748686,-0.596586565,-1.470232257,-0.249517547,-0.651443648,-1.493084622
0.25,0.238865727,-0.000773103,0.2,0,0,0,0,-1.08E-17,0,0,0,0,0,0,0,0,0,0,-0.417965578,-0.587629875,-1.465112955,-0.125503228,-0.527387231,-1.415505818,0.00237467,-0.579095416,-1.459791579,-0.321532023,-0.667068036,-1.497397169,-0.345078232,-0.19286153,0.424950561,0,0,0,0,0,0,8.88E-14,3.33E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,-5.55E-17,0.04,0.22,-5.55E-17,0.04,-0.2,-8.33E-17,0.4,-0.2,4.16E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.417965578,-0.587629875,-1.465112955,-0.125503228,-0.527387231,-1.415505818,0.00237467,-0.579095416,-1.459791579,-0.321532023,-0.667068036,-1.497397169
0.3,0.238703898,-0.000770212,0.2,0,0,0,-0.005677893,0.000101442,0,0,0,0,0,0,0,0,0,0,-0.418543251,-0.587088308,-1.464788528,-0.12652287,-0.52767679,-1.415828005,0.003461305,-0.579489976,-1.460047673,-0.290242212,-0.58513872,-1.560296375,-0.020249311,0.018992702,0.011397538,-0.035793878,-0.010160202,-0.011292986,0.038151163,-0.013843973,-0.008974166,1.000743378,2.662521718,-1.866842353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,0,0.04,0.22,-5.55E-17,0.04,-0.2,-1.11E-16,0.40624,-0.20624,0.00704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.418543251,-0.587088308,-1.464788528,-0.12652287,-0.52767679,-1.415828005,0.003461305,-0.579489976,-1.460047673,-0.290242212,-0.58513872,-1.560296375
0.35,0.238264647,-0.000762364,0.2,0,0,0,-0.010671479,0.000190658,0,0,0,0,0,0,0,0,0,0,-0.420102954,-0.585622141,-1.463901398,-0.129298906,-0.528463082,-1.416697573,0.006422186,-0.580561154,-1.460737891,-0.234168232,-0.431522395,-1.626527239,-0.037781918,0.035568915,0.021640552,-0.067556638,-0.019107237,-0.0210596,0.072087958,-0.026026841,-0.016702953,1.097546031,2.942717383,-0.525439763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,2.78E-17,0.04,0.22,2.78E-17,0.04,-0.2,-1.67E-16,0.42112,-0.22112,0.01792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.420102954,-0.585622141,-1.463901398,-0.129298906,-0.528463082,-1.416697573,0.006422186,-0.580561154,-1.460737891,-0.234168232,-0.431522395,-1.626527239
0.4,0.23761733,-0.000750799,0.2,0,0,0,-0.014277958,0.000255092,0,0,0,0,0,0,0,0,0,0,-0.422379669,-0.583471664,-1.4625766,-0.133412457,-0.529622656,-1.417965925,0.010816232,-0.582140227,-1.461742064,-0.188371118,-0.354870452,-1.544211014,-0.049996348,0.047328529,0.029400167,-0.090964658,-0.025584619,-0.027842232,0.097235132,-0.034833999,-0.022016558,0.778407379,0.363158999,3.144795463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,5.55E-17,0.04,0.22,0,0.04,-0.2,-1.39E-16,0.43888,-0.23888,0.01792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.422379669,-0.583471664,-1.4625766,-0.133412457,-0.529622656,-1.417965925,0.010816232,-0.582140227,-1.461742064,-0.188371118,-0.354870452,-1.544211014
0.45,0.236831303,-0.000736756,0.2,0,0,0,-0.016497329,0.000294744,0,0,0,0,0,0,0,0,0,0,-0.425109877,-0.580876844,-1.460939908,-0.138443765,-0.531031804,-1.419485165,0.016201315,-0.584058182,-1.462940736,-0.159796775,-0.397074461,-1.336940877,-0.056992916,0.054309982,0.034606306,-0.105929225,-0.029584037,-0.031696755,0.11347543,-0.040257382,-0.024970711,0.438376183,-1.344610625,4.29116169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.16,1.11E-16,0.04,0.22,-2.78E-17,0.04,-0.2,-5.55E-17,0.45376,-0.25376,0.00704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.425109877,-0.580876844,-1.460939908,-0.138443765,-0.531031804,-1.419485165,0.016201315,-0.584058182,-1.462940736,-0.159796775,-0.397074461,-1.336940877
